"date","ts1","te1","ts2","te2","ts3","te3","ts4","te4","ts5","te5","total","avg"
17-04-2015,04:35 AM,08:05 AM,,,,,,,,,03:30,07:34:01
18-04-2015,02:00 AM,08:00 AM,,,,,,,,,06:00,07:33:16
19-04-2015,06:05 AM,07:55 AM,,,,,,,,,01:50,07:30:31
20-04-2015,06:10 AM,08:15 AM,,,,,,,,,02:05,07:27:56
21-04-2015,02:00 AM,08:05 AM,,,,,,,,,06:05,07:27:17
22-04-2015,04:30 AM,08:43 AM,,,,,,,,,04:13,07:25:46
23-04-2015,03:00 AM,09:05 AM,,,,,,,,,06:05,07:25:08
24-04-2015,02:00 AM,08:05 AM,11:30 PM,11:59 PM,,,,,,,06:34,07:24:45
25-04-2015,12:01 AM,07:45 AM,,,,,,,,,07:44,07:24:54
26-04-2015,12:50 AM,09:30 AM,03:15 PM,06:30 PM,,,,,,,11:55,07:26:56
27-04-2015,05:05 AM,10:05 AM,05:30 PM,08:15 PM,,,,,,,07:45,07:27:05
28-04-2015,05:00 AM,08:30 AM,11:30 PM,11:59 PM,,,,,,,03:59,07:25:31
29-04-2015,12:01 AM,08:48 AM,04:50 AM,07:37 AM,,,,,,,11:34,07:27:22
30-04-2015,06:00 AM,09:00 AM,,,,,,,,,03:00,07:25:24
01-05-2015,12:30 AM,08:30 AM,,,,,,,,,08:00,07:25:39
02-05-2015,01:00 AM,01:40 PM,,,,,,,,,12:40,07:27:56
03-05-2015,04:40 AM,01:30 PM,,,,,,,,,08:50,07:28:31
04-05-2015,02:00 AM,11:50 AM,,,,,,,,,09:50,07:29:32
05-05-2015,03:00 AM,12:05 PM,,,,,,,,,09:05,07:30:12
06-05-2015,04:40 AM,11:50 AM,,,,,,,,,07:10,07:30:04
07-05-2015,05:05 AM,08:43 AM,08:30 PM,11:59 PM,,,,,,,07:07,07:29:54
08-05-2015,12:01 AM,12:27 AM,04:45 AM,11:50 AM,,,,,,,07:31,07:29:55
09-05-2015,02:35 AM,09:36 AM,,,,,,,,,07:01,07:29:43
10-05-2015,04:43 AM,11:55 AM,,,,,,,,,07:12,07:29:35
11-05-2015,05:05 AM,08:10 AM,02:45 PM,06:30 PM,,,,,,,06:50,07:29:19
12-05-2015,05:00 AM,10:30 AM,,,,,,,,,05:30,07:28:31
13-05-2015,03:00 AM,09:15 AM,03:20 PM,06:50 PM,,,,,,,09:45,07:29:26
14-05-2015,05:20 AM,09:10 AM,,,,,,,,,03:50,07:27:58
15-05-2015,12:23 AM,10:43 AM,,,,,,,,,10:20,07:29:06
16-05-2015,05:40 AM,09:30 AM,,,,,,,,,03:50,07:27:40
17-05-2015,02:00 AM,11:30 AM,,,,,,,,,09:30,07:28:28
18-05-2015,05:00 AM,12:20 PM,,,,,,,,,07:20,07:28:25
19-05-2015,05:35 AM,10:45 AM,08:00 PM,08:30 PM,,,,,,,05:40,07:27:43
20-05-2015,04:00 AM,12:15 PM,,,,,,,,,08:15,07:28:01
21-05-2015,06:15 AM,11:19 AM,08:30 PM,10:30 PM,,,,,,,07:04,07:27:52
22-05-2015,04:35 AM,07:30 AM,04:05 PM,07:55 PM,,,,,,,06:45,07:27:35
23-05-2015,05:10 AM,07:50 AM,03:11 PM,09:28 PM,,,,,,,08:57,07:28:09
24-05-2015,05:25 AM,07:58 AM,07:30 PM,10:13 PM,,,,,,,05:16,07:27:20
25-05-2015,05:00 AM,11:00 AM,,,,,,,,,06:00,07:26:47
26-05-2015,05:50 AM,11:32 AM,03:00 PM,06:15 PM,,,,,,,08:57,07:27:20
27-05-2015,04:00 AM,10:40 AM,08:15 PM,10:20 PM,,,,,,,08:45,07:27:49
28-05-2015,05:20 AM,11:24 AM,,,,,,,,,06:04,07:27:18
29-05-2015,03:48 AM,08:44 AM,02:30 PM,05:30 PM,,,,,,,07:56,07:27:29
30-05-2015,03:25 AM,07:58 AM,03:15 PM,07:00 PM,,,,,,,08:18,07:27:47
31-05-2015,04:15 AM,10:40 AM,,,,,,,,,06:25,07:27:24
01-06-2015,04:45 AM,10:40 AM,,,,,,,,,05:55,07:26:51
02-06-2015,03:39 AM,01:00 PM,01:40 PM,02:40 PM,,,,,,,10:21,07:27:53
